1#1003.6,679.4;968.5,574.0;981.7,490.6;950.9,508.1;972.9,609.1;1003.6,701.3;964.1,499.4;924.6,394.0;924.6,394.0;893.9,341.3;915.8,284.2;937.8,336.9;955.3,380.8;889.5,407.1;836.8,376.4;823.6,332.5
2#1004.5,681.2;969.4,575.9;982.6,492.6;951.9,505.7;969.4,611.0;1004.5,698.7;965.1,501.3;925.6,396.1;925.6,396.1;894.9,339.0;916.8,286.4;943.1,325.9;956.3,382.9;890.5,409.2;837.8,378.5;824.7,330.3
3#1004.8,683.7;969.6,578.2;982.8,490.2;952.0,503.4;969.6,608.9;1004.8,701.3;965.2,499.0;921.2,397.8;925.6,393.4;890.4,340.6;916.8,287.9;938.8,327.4;956.4,384.6;890.4,411.0;837.6,380.2;824.4,331.8
4#1000.9,685.0;965.5,578.8;983.2,494.7;952.2,507.9;969.9,609.8;1005.3,702.8;965.5,503.5;921.2,397.2;921.2,392.8;894.6,339.7;916.8,286.5;934.5,326.4;952.2,384.0;890.2,410.5;837.1,379.5;823.8,335.3
5#1001.8,684.8;966.4,578.7;984.1,490.2;948.7,503.5;970.9,609.6;1001.8,702.5;966.4,499.1;922.2,397.4;922.2,392.9;891.3,339.9;904.5,286.8;935.5,326.6;953.2,384.1;886.8,410.6;833.8,379.7;824.9,335.5
6#1002.2,684.4;967.1,583.4;980.3,491.2;949.5,504.4;967.1,609.7;1002.2,701.9;962.7,500.0;918.8,399.0;918.8,394.6;888.1,337.5;901.2,284.8;923.2,328.7;949.5,385.8;883.7,407.8;835.4,381.4;822.2,337.5
7#1000.2,686.8;960.2,584.6;978.0,491.2;946.9,504.6;964.7,611.3;1000.2,700.2;960.2,500.1;915.8,397.9;915.8,393.4;889.1,340.1;898.0,286.8;920.2,326.8;951.3,389.0;880.2,406.8;831.3,380.1;822.4,335.7
8#996.7,686.5;956.7,584.4;974.5,491.2;939.0,504.5;961.2,611.0;1001.1,699.8;956.7,500.1;912.3,398.0;912.3,393.6;885.7,335.9;899.0,287.1;921.2,327.0;943.4,384.7;876.8,402.5;832.5,380.3;823.6,340.4
9#997.7,684.5;953.5,582.9;966.8,490.2;935.9,503.5;958.0,609.4;997.7,702.2;953.5,499.0;909.4,397.5;909.4,393.1;882.9,335.7;896.1,287.1;918.2,326.8;940.3,384.2;874.0,401.9;829.9,384.2;825.5,340.1
10#993.3,683.1;949.4,577.9;962.6,490.2;931.9,503.3;949.4,608.6;993.3,700.6;945.0,498.9;905.6,393.7;905.6,389.3;883.7,332.3;896.8,288.5;918.7,327.9;936.3,384.9;870.5,398.1;835.4,384.9;826.7,341.1
11#892.9,548.0;939.3,573.3;951.9,489.0;922.4,501.6;943.5,607.0;985.6,695.5;935.0,497.4;901.3,387.8;901.3,387.8;884.5,328.8;892.9,290.9;918.2,333.0;930.8,383.6;867.6,396.2;833.9,387.8;825.5,345.7
12#975.0,665.4;915.7,523.3;947.3,487.7;911.8,499.6;927.6,602.2;978.9,689.1;931.5,491.7;896.0,385.0;896.0,381.1;876.2,321.8;884.1,290.2;899.9,329.7;927.6,377.1;864.4,392.9;828.8,389.0;820.9,345.5
13#955.4,664.0;915.8,568.9;935.6,477.8;907.9,493.6;915.8,596.7;967.3,679.9;919.8,485.7;892.0,378.7;892.0,378.7;872.2,319.3;872.2,311.3;896.0,343.0;923.7,374.8;864.3,386.6;824.6,390.6;820.7,347.0
14#910.0,571.6;906.4,546.9;931.2,483.2;899.4,493.8;899.4,592.8;959.5,670.6;913.5,486.8;888.8,377.2;888.8,377.2;867.6,320.6;874.6,317.1;888.8,345.4;917.0,370.1;860.5,384.3;821.6,391.3;818.1,348.9
15#870.7,545.2;891.1,559.8;923.2,486.9;888.2,495.6;879.5,580.3;930.5,631.3;902.8,489.8;882.4,373.1;879.5,370.2;856.1,320.6;870.7,306.0;905.7,326.4;914.5,361.4;853.2,381.8;818.2,396.4;818.2,352.7
16#879.6,576.8;879.6,558.6;916.0,482.7;882.6,488.8;861.4,573.8;937.3,643.7;897.8,485.7;876.6,370.3;876.6,370.3;849.2,318.7;864.4,324.8;910.0,406.8;903.9,361.2;846.2,382.5;812.8,400.7;812.8,358.2
17#878.3,569.0;856.0,530.8;910.1,483.1;875.1,492.7;846.5,565.8;916.5,626.3;894.2,489.5;865.6,371.8;865.6,368.6;843.3,320.9;872.0,320.9;907.0,343.1;897.4,371.8;837.0,374.9;805.1,403.6;808.3,365.4
18#875.1,573.4;848.8,520.8;901.3,477.0;866.3,488.7;834.2,553.0;898.4,617.2;883.8,485.8;851.7,371.9;851.7,366.1;834.2,313.5;875.1,380.7;895.5,404.0;886.7,366.1;816.7,377.8;793.3,407.0;807.9,369.0
19#879.4,581.1;837.5,521.3;888.4,479.5;852.5,485.5;819.6,539.3;876.4,605.1;873.4,482.5;843.5,371.8;843.5,365.8;825.6,312.0;858.5,377.8;891.3,407.7;876.4,362.9;807.6,377.8;777.7,410.7;807.6,365.8
20#871.4,584.0;824.8,514.2;880.1,479.3;842.3,488.1;798.6,523.0;853.9,589.8;862.6,485.1;836.5,371.7;833.5,365.9;816.1,310.7;874.3,325.2;920.8,345.6;871.4,360.1;798.6,380.5;763.7,409.5;795.7,386.3
21#871.6,582.4;832.7,493.6;874.3,471.4;829.9,485.3;774.4,515.8;835.5,579.6;852.1,479.7;824.4,371.5;824.4,363.1;811.9,306.2;866.0,321.5;916.0,338.2;866.0,360.4;788.3,379.8;743.9,404.8;782.8,382.6
22#867.8,586.4;823.1,502.2;859.9,478.5;815.2,483.8;752.1,494.3;807.3,562.7;838.9,481.2;817.8,368.0;815.2,365.4;806.0,308.8;863.9,314.1;912.5,331.2;857.3,357.5;778.4,375.9;725.8,399.6;762.6,381.2
23#864.8,590.2;832.4,517.3;859.4,471.3;808.1,482.1;737.8,484.8;786.4,557.8;832.4,479.4;810.8,365.9;808.1,365.9;798.6,307.8;852.7,313.2;902.7,322.6;848.6,357.8;772.9,374.0;710.7,387.5;748.6,357.8
24#863.5,598.9;832.4,528.3;849.4,469.0;798.5,480.3;733.6,474.6;764.6,553.7;824.0,474.6;804.2,367.3;801.4,364.5;788.6,306.6;846.5,310.8;855.0,401.2;838.1,361.7;767.5,373.0;699.7,378.6;727.9,341.9
25#860.5,601.3;830.1,531.4;839.2,470.7;787.6,479.8;714.7,464.6;739.0,543.6;811.9,479.8;793.7,364.4;793.7,364.4;781.5,306.7;830.1,300.6;875.7,309.7;830.1,358.3;760.3,370.5;687.4,367.4;714.7,328.0
26#855.4,613.9;829.6,533.6;823.9,476.3;772.3,482.0;697.8,453.3;715.0,539.3;798.1,479.1;789.5,364.4;786.6,364.4;775.2,310.0;803.8,287.0;849.7,301.4;823.9,353.0;752.2,370.2;680.6,355.8;692.0,315.7
27#853.8,618.0;827.1,541.2;817.1,481.0;763.7,481.0;683.5,444.3;690.2,534.5;790.4,481.0;780.3,367.5;780.3,364.1;770.3,307.4;777.0,274.0;830.4,297.3;813.7,360.8;747.0,370.8;673.5,344.1;680.2,297.3
28#853.8,628.6;830.4,546.7;807.0,488.2;756.2,484.3;670.4,437.5;666.5,523.3;775.8,488.2;775.8,367.3;771.9,363.4;760.1,308.8;771.9,265.9;803.1,297.1;810.9,367.3;732.8,371.2;670.4,336.1;666.5,285.4
29#850.4,640.5;826.3,552.2;794.1,492.0;737.9,487.9;661.6,431.7;649.6,516.1;766.0,492.0;766.0,371.5;766.0,367.5;754.0,307.2;762.0,267.1;790.1,311.3;802.2,371.5;725.9,371.5;665.6,331.3;653.6,283.1
30#846.7,640.4;813.5,559.3;780.3,496.6;725.0,492.9;651.3,430.3;629.2,507.7;754.5,496.6;750.8,375.0;754.5,375.0;754.5,316.0;872.5,371.3;820.9,360.3;791.4,378.7;714.0,371.3;655.0,330.8;644.0,279.2
31#837.2,648.3;757.5,318.0;765.1,504.0;708.1,500.2;643.6,428.1;609.4,500.2;734.7,500.2;749.9,473.7;738.5,405.3;749.9,344.6;848.6,462.3;818.2,450.9;784.1,511.6;692.9,496.4;643.6,431.9;609.4,500.2
32#825.4,651.2;801.6,573.1;754.1,505.2;699.7,495.0;631.8,427.1;591.0,495.0;726.9,505.2;726.9,382.9;723.5,389.7;720.1,321.8;832.2,467.8;798.2,461.0;767.6,382.9;689.5,382.9;635.2,430.5;594.4,491.6
33#814.3,665.7;781.6,557.3;733.5,512.6;678.4,509.2;626.9,433.5;575.3,492.0;706.0,509.2;706.0,378.5;709.4,395.7;706.0,333.8;833.2,478.2;788.5,471.3;750.7,522.9;675.0,388.8;626.9,436.9;578.7,495.4
34#795.2,659.9;774.7,571.5;727.1,517.0;672.7,513.6;614.8,438.8;563.8,489.8;699.9,517.0;699.9,398.0;699.9,398.0;693.1,340.1;711.8,294.2;727.1,333.3;733.9,398.0;662.5,398.0;618.2,374.1;625.0,329.9
35#550.7,493.9;608.9,443.6;627.4,403.9;672.4,438.3;611.6,440.9;550.7,493.9;651.3,427.7;683.0,388.0;683.0,401.2;684.3,265.0;706.8,311.3;614.2,390.7;659.2,396.0;656.6,396.0;712.1,353.6;627.4,343.0
36#540.2,496.2;599.7,449.2;629.4,436.8;659.1,446.7;609.6,451.6;624.4,516.0;644.2,431.8;674.0,384.8;669.0,365.0;682.6,279.5;626.9,352.6;604.6,399.6;654.1,402.1;698.7,332.8;708.6,419.4;726.0,439.3
37#531.5,501.9;593.5,456.6;607.8,413.7;643.6,420.8;591.1,456.6;615.0,525.7;626.9,420.8;662.7,373.1;660.3,368.3;674.6,404.1;624.5,335.0;624.5,342.1;648.3,354.0;693.7,382.7;691.3,411.3;667.4,435.1
38#526.0,510.1;574.9,463.7;609.1,441.7;638.5,453.9;577.3,463.7;596.9,522.4;621.3,451.4;662.9,414.8;660.5,424.5;662.9,370.8;689.8,351.2;711.8,392.8;692.3,422.1;626.2,412.3;596.9,422.1;621.3,383.0
39#520.2,520.7;565.2,478.0;643.5,530.2;610.3,520.7;560.5,466.2;517.8,520.7;626.9,523.1;655.3,428.2;655.3,433.0;653.0,378.4;690.9,369.0;707.5,399.8;688.5,435.3;617.4,430.6;593.7,428.2;617.4,395.0
40#568.6,534.5;561.5,482.1;635.3,532.1;597.2,525.0;549.6,472.6;513.9,532.1;616.2,522.6;647.2,429.7;647.2,439.2;635.3,389.2;690.0,375.0;701.9,413.0;682.9,436.9;611.5,429.7;585.3,439.2;690.0,375.0
41#508.0,545.7;535.3,479.3;588.1,493.0;619.3,493.0;607.6,524.2;508.0,553.5;605.6,493.0;638.9,434.4;638.9,438.3;627.1,393.4;689.6,385.6;693.5,432.4;670.1,440.2;668.1,442.2;695.5,424.6;691.6,389.5
42#634.0,563.5;579.3,524.4;628.1,516.6;587.1,514.6;524.6,487.3;505.1,557.6;610.6,516.6;624.2,444.3;622.3,438.5;620.3,391.6;684.8,393.6;692.6,438.5;659.4,446.3;589.1,440.4;571.5,479.5;557.8,497.1
